Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	87.4	90.6	0	4000	target	 
2	Spectrogram_1	1	234.3	235.75	0	4000	target	 
3	Spectrogram_1	1	277.9	279.0	0	4000	target	 
4	Spectrogram_1	1	279.35	280.55	0	4000	target	 
5	Spectrogram_1	1	291.5	292.3	0	4000	target	 
6	Spectrogram_1	1	292.6	294.0	0	4000	target	 
7	Spectrogram_1	1	520.9	522.4	0	4000	target	 
8	Spectrogram_1	1	643.35	647.55	0	4000	target	 
9	Spectrogram_1	1	649.7	652.35	0	4000	target	 
10	Spectrogram_1	1	655.35	657.95	0	4000	target	 
11	Spectrogram_1	1	658.1	659.15	0	4000	target	 
12	Spectrogram_1	1	660.25	661.3	0	4000	target	 
13	Spectrogram_1	1	661.4	662.4	0	4000	target	 
14	Spectrogram_1	1	663.6	664.4	0	4000	target	 
15	Spectrogram_1	1	665.55	666.75	0	4000	target	 
16	Spectrogram_1	1	668.3	669.6	0	4000	target	 
17	Spectrogram_1	1	671.65	672.7	0	4000	target	 
18	Spectrogram_1	1	673.95	678.0	0	4000	target	 
19	Spectrogram_1	1	678.35	680.95	0	4000	target	 
20	Spectrogram_1	1	682.8	684.9	0	4000	target	 
21	Spectrogram_1	1	690.95	691.95	0	4000	target	 
22	Spectrogram_1	1	862.45	863.6	0	4000	target	 
23	Spectrogram_1	1	864.25	867.55	0	4000	target	 
24	Spectrogram_1	1	897.9	899.0	0	4000	target	 
25	Spectrogram_1	1	911.9	913.0	0	4000	target	 
26	Spectrogram_1	1	939.6	940.55	0	4000	target	 
27	Spectrogram_1	1	941.75	942.6	0	4000	target	 
28	Spectrogram_1	1	944.35	957.65	0	4000	target	 
29	Spectrogram_1	1	957.7	965.3	0	4000	target	 
30	Spectrogram_1	1	966.9	968.35	0	4000	target	 
31	Spectrogram_1	1	975.7	976.95	0	4000	target	 
32	Spectrogram_1	1	987.7	988.55	0	4000	target	 
33	Spectrogram_1	1	989.1	990.0	0	4000	target	 
34	Spectrogram_1	1	991.5	992.3	0	4000	target	 
35	Spectrogram_1	1	996.35	1003.3	0	4000	target	 
36	Spectrogram_1	1	1003.5	1004.45	0	4000	target	 
37	Spectrogram_1	1	1020.35	1021.55	0	4000	target	 
38	Spectrogram_1	1	1031.7	1033.15	0	4000	target	 
39	Spectrogram_1	1	1048.0	1050.5	0	4000	target	 
40	Spectrogram_1	1	1166.25	1168.15	0	4000	target	 
41	Spectrogram_1	1	1772.55	1773.85	0	4000	target	 
42	Spectrogram_1	1	1841.25	1842.6	0	4000	target	 
43	Spectrogram_1	1	1856.7	1858.3	0	4000	target	 
44	Spectrogram_1	1	1882.45	1883.75	0	4000	target	 
45	Spectrogram_1	1	1893.45	1894.65	0	4000	target	 
46	Spectrogram_1	1	1898.5	1899.85	0	4000	target	 
47	Spectrogram_1	1	1902.05	1903.3	0	4000	target	 
48	Spectrogram_1	1	1905.85	1907.0	0	4000	target	 
49	Spectrogram_1	1	1928.2	1929.75	0	4000	target	 
50	Spectrogram_1	1	1930.75	1931.6	0	4000	target	 
51	Spectrogram_1	1	1935.3	1937.05	0	4000	target	 
52	Spectrogram_1	1	1939.75	1941.35	0	4000	target	 
53	Spectrogram_1	1	1954.75	1956.3	0	4000	target	 
54	Spectrogram_1	1	1969.05	1969.85	0	4000	target	 
