Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	86.8	88.65	0	4000	target	 
2	Spectrogram_1	1	215.1	215.8	0	4000	target	 
3	Spectrogram_1	1	282.55	283.1	0	4000	target	 
4	Spectrogram_1	1	291.0	291.6	0	4000	target	 
5	Spectrogram_1	1	563.5	564.15	0	4000	target	 
6	Spectrogram_1	1	569.3	569.9	0	4000	target	 
7	Spectrogram_1	1	1062.0	1062.5	0	4000	target	 
8	Spectrogram_1	1	1180.65	1181.45	0	4000	target	 
9	Spectrogram_1	1	1206.9	1211.85	0	4000	target	 
10	Spectrogram_1	1	1212.1	1213.05	0	4000	target	 
11	Spectrogram_1	1	1213.15	1214.2	0	4000	target	 
12	Spectrogram_1	1	1214.4	1222.0	0	4000	target	 
13	Spectrogram_1	1	1222.2	1223.0	0	4000	target	 
14	Spectrogram_1	1	1227.4	1230.05	0	4000	target	 
15	Spectrogram_1	1	1231.2	1232.2	0	4000	target	 
16	Spectrogram_1	1	1233.2	1234.45	0	4000	target	 
17	Spectrogram_1	1	1234.7	1236.2	0	4000	target	 
18	Spectrogram_1	1	1236.6	1237.1	0	4000	target	 
19	Spectrogram_1	1	1237.6	1238.75	0	4000	target	 
20	Spectrogram_1	1	1239.1	1239.7	0	4000	target	 
21	Spectrogram_1	1	1240.15	1242.2	0	4000	target	 
22	Spectrogram_1	1	1245.1	1246.85	0	4000	target	 
23	Spectrogram_1	1	1246.95	1249.95	0	4000	target	 
24	Spectrogram_1	1	1251.1	1252.35	0	4000	target	 
25	Spectrogram_1	1	1252.45	1253.6	0	4000	target	 
26	Spectrogram_1	1	1254.45	1256.45	0	4000	target	 
27	Spectrogram_1	1	1260.15	1261.45	0	4000	target	 
28	Spectrogram_1	1	1261.75	1263.5	0	4000	target	 
29	Spectrogram_1	1	1263.65	1264.65	0	4000	target	 
30	Spectrogram_1	1	1264.7	1265.65	0	4000	target	 
31	Spectrogram_1	1	1265.75	1266.35	0	4000	target	 
32	Spectrogram_1	1	1266.55	1268.2	0	4000	target	 
33	Spectrogram_1	1	1268.45	1271.25	0	4000	target	 
34	Spectrogram_1	1	1273.55	1276.25	0	4000	target	 
35	Spectrogram_1	1	1276.5	1277.55	0	4000	target	 
36	Spectrogram_1	1	1278.05	1278.7	0	4000	target	 
37	Spectrogram_1	1	1280.6	1286.1	0	4000	target	 
38	Spectrogram_1	1	1286.2	1289.1	0	4000	target	 
39	Spectrogram_1	1	1293.25	1295.1	0	4000	target	 
40	Spectrogram_1	1	1296.9	1297.85	0	4000	target	 
41	Spectrogram_1	1	1298.6	1301.35	0	4000	target	 
42	Spectrogram_1	1	1305.2	1307.7	0	4000	target	 
43	Spectrogram_1	1	1307.85	1308.7	0	4000	target	 
44	Spectrogram_1	1	1316.2	1318.35	0	4000	target	 
45	Spectrogram_1	1	1318.65	1319.45	0	4000	target	 
46	Spectrogram_1	1	1320.55	1321.9	0	4000	target	 
47	Spectrogram_1	1	1322.05	1322.6	0	4000	target	 
48	Spectrogram_1	1	1322.65	1323.25	0	4000	target	 
49	Spectrogram_1	1	1323.55	1325.05	0	4000	target	 
50	Spectrogram_1	1	1325.3	1326.1	0	4000	target	 
51	Spectrogram_1	1	1586.35	1587.65	0	4000	target	 
52	Spectrogram_1	1	1587.75	1595.2	0	4000	target	 
53	Spectrogram_1	1	1634.05	1635.05	0	4000	target	 
54	Spectrogram_1	1	1636.55	1638.95	0	4000	target	 
55	Spectrogram_1	1	1639.7	1640.35	0	4000	target	 
56	Spectrogram_1	1	1643.05	1643.75	0	4000	target	 
57	Spectrogram_1	1	1645.65	1646.55	0	4000	target	 
58	Spectrogram_1	1	1680.95	1681.45	0	4000	target	 
59	Spectrogram_1	1	1684.5	1685.35	0	4000	target	 
60	Spectrogram_1	1	1686.55	1690.95	0	4000	target	 
61	Spectrogram_1	1	1691.55	1700.8	0	4000	target	 
62	Spectrogram_1	1	1702.95	1705.35	0	4000	target	 
63	Spectrogram_1	1	1705.5	1708.3	0	4000	target	 
64	Spectrogram_1	1	1709.25	1711.45	0	4000	target	 
65	Spectrogram_1	1	1712.6	1713.7	0	4000	target	 
66	Spectrogram_1	1	1714.2	1715.4	0	4000	target	 
67	Spectrogram_1	1	1716.45	1719.7	0	4000	target	 
68	Spectrogram_1	1	1721.75	1724.3	0	4000	target	 
69	Spectrogram_1	1	1750.05	1752.05	0	4000	target	 
70	Spectrogram_1	1	1752.9	1754.35	0	4000	target	 
71	Spectrogram_1	1	1755.65	1756.5	0	4000	target	 
72	Spectrogram_1	1	1756.6	1757.35	0	4000	target	 
73	Spectrogram_1	1	1765.3	1765.8	0	4000	target	 
74	Spectrogram_1	1	1802.65	1803.3	0	4000	target	 
75	Spectrogram_1	1	1845.0	1845.9	0	4000	target	 
76	Spectrogram_1	1	2062.8	2063.35	0	4000	target	 
77	Spectrogram_1	1	2065.9	2066.7	0	4000	target	 
78	Spectrogram_1	1	2476.3	2476.8	0	4000	target	 
79	Spectrogram_1	1	2482.4	2482.95	0	4000	target	 
80	Spectrogram_1	1	2492.1	2492.75	0	4000	target	 
81	Spectrogram_1	1	2494.55	2495.05	0	4000	target	 
82	Spectrogram_1	1	2722.55	2723.05	0	4000	target	 
83	Spectrogram_1	1	2730.1	2730.65	0	4000	target	 
84	Spectrogram_1	1	2774.55	2775.2	0	4000	target	 
85	Spectrogram_1	1	2797.35	2797.9	0	4000	target	 
86	Spectrogram_1	1	2862.7	2863.35	0	4000	target	 
87	Spectrogram_1	1	3225.75	3226.3	0	4000	target	 
88	Spectrogram_1	1	3260.4	3261.05	0	4000	target	 
89	Spectrogram_1	1	3266.95	3267.7	0	4000	target	 
90	Spectrogram_1	1	3278.3	3279.1	0	4000	target	 
91	Spectrogram_1	1	3294.45	3294.95	0	4000	target	 
92	Spectrogram_1	1	3308.7	3309.55	0	4000	target	 
93	Spectrogram_1	1	3315.95	3316.85	0	4000	target	 
94	Spectrogram_1	1	3321.2	3321.9	0	4000	target	 
95	Spectrogram_1	1	3333.3	3334.0	0	4000	target	 
96	Spectrogram_1	1	3345.5	3346.65	0	4000	target	 
97	Spectrogram_1	1	3731.35	3732.15	0	4000	target	 
98	Spectrogram_1	1	3757.9	3758.75	0	4000	target	 
99	Spectrogram_1	1	3775.45	3776.3	0	4000	target	 
100	Spectrogram_1	1	3800.55	3801.15	0	4000	target	 
101	Spectrogram_1	1	3821.35	3822.0	0	4000	target	 
102	Spectrogram_1	1	3823.9	3824.45	0	4000	target	 
103	Spectrogram_1	1	3828.25	3829.0	0	4000	target	 
104	Spectrogram_1	1	3843.25	3843.75	0	4000	target	 
105	Spectrogram_1	1	3880.75	3881.6	0	4000	target	 
106	Spectrogram_1	1	3904.0	3904.7	0	4000	target	 
107	Spectrogram_1	1	3916.6	3917.55	0	4000	target	 
108	Spectrogram_1	1	3940.15	3940.8	0	4000	target	 
109	Spectrogram_1	1	3958.7	3959.65	0	4000	target	 
110	Spectrogram_1	1	3986.9	3987.5	0	4000	target	 
111	Spectrogram_1	1	4083.6	4084.35	0	4000	target	 
112	Spectrogram_1	1	4337.2	4337.7	0	4000	target	 
113	Spectrogram_1	1	4391.95	4393.5	0	4000	target	 
114	Spectrogram_1	1	4430.2	4431.7	0	4000	target	 
115	Spectrogram_1	1	4437.2	4438.6	0	4000	target	 
116	Spectrogram_1	1	4439.2	4439.7	0	4000	target	 
