Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	89.4	90.05	0	4000	target	 
2	Spectrogram_1	1	213.05	213.65	0	4000	target	 
3	Spectrogram_1	1	234.5	235.5	0	4000	target	 
4	Spectrogram_1	1	279.7	280.3	0	4000	target	 
5	Spectrogram_1	1	291.65	292.3	0	4000	target	 
6	Spectrogram_1	1	521.15	522.25	0	4000	target	 
7	Spectrogram_1	1	627.85	628.35	0	4000	target	 
8	Spectrogram_1	1	643.6	680.85	0	4000	target	 
9	Spectrogram_1	1	683.9	684.65	0	4000	target	 
10	Spectrogram_1	1	687.05	692.25	0	4000	target	 
11	Spectrogram_1	1	861.7	869.0	0	4000	target	 
12	Spectrogram_1	1	897.9	898.9	0	4000	target	 
13	Spectrogram_1	1	902.2	906.15	0	4000	target	 
14	Spectrogram_1	1	911.9	912.8	0	4000	target	 
15	Spectrogram_1	1	939.3	971.3	0	4000	target	 
16	Spectrogram_1	1	976.0	976.6	0	4000	target	 
17	Spectrogram_1	1	980.0	981.15	0	4000	target	 
18	Spectrogram_1	1	987.55	992.2	0	4000	target	 
19	Spectrogram_1	1	996.45	1004.5	0	4000	target	 
20	Spectrogram_1	1	1012.95	1013.45	0	4000	target	 
21	Spectrogram_1	1	1019.7	1022.6	0	4000	target	 
22	Spectrogram_1	1	1031.5	1033.0	0	4000	target	 
23	Spectrogram_1	1	1048.2	1050.2	0	4000	target	 
24	Spectrogram_1	1	1166.35	1168.1	0	4000	target	 
25	Spectrogram_1	1	1462.35	1462.85	0	4000	target	 
26	Spectrogram_1	1	1841.7	1842.25	0	4000	target	 
27	Spectrogram_1	1	1857.1	1857.95	0	4000	target	 
28	Spectrogram_1	1	1882.8	1883.45	0	4000	target	 
29	Spectrogram_1	1	1893.7	1894.4	0	4000	target	 
30	Spectrogram_1	1	1898.75	1899.55	0	4000	target	 
31	Spectrogram_1	1	1902.35	1903.0	0	4000	target	 
32	Spectrogram_1	1	1906.05	1906.7	0	4000	target	 
33	Spectrogram_1	1	1928.5	1929.45	0	4000	target	 
34	Spectrogram_1	1	1935.15	1936.5	0	4000	target	 
35	Spectrogram_1	1	1940.0	1941.1	0	4000	target	 
36	Spectrogram_1	1	1955.35	1955.95	0	4000	target	 
37	Spectrogram_1	1	1969.25	1969.9	0	4000	target	 
38	Spectrogram_1	1	1975.3	1976.1	0	4000	target	 
39	Spectrogram_1	1	1979.75	1980.65	0	4000	target	 
40	Spectrogram_1	1	1985.25	1986.1	0	4000	target	 
41	Spectrogram_1	1	1988.95	1990.5	0	4000	target	 
42	Spectrogram_1	1	1992.95	1997.3	0	4000	target	 
43	Spectrogram_1	1	2001.0	2004.35	0	4000	target	 
44	Spectrogram_1	1	2008.6	2009.85	0	4000	target	 
45	Spectrogram_1	1	2013.45	2014.15	0	4000	target	 
46	Spectrogram_1	1	2017.3	2018.15	0	4000	target	 
47	Spectrogram_1	1	2020.45	2021.35	0	4000	target	 
48	Spectrogram_1	1	2024.25	2025.0	0	4000	target	 
49	Spectrogram_1	1	2030.4	2033.15	0	4000	target	 
50	Spectrogram_1	1	2038.05	2040.65	0	4000	target	 
51	Spectrogram_1	1	2043.1	2043.75	0	4000	target	 
52	Spectrogram_1	1	2054.4	2055.2	0	4000	target	 
53	Spectrogram_1	1	2058.8	2059.75	0	4000	target	 
54	Spectrogram_1	1	2068.7	2069.35	0	4000	target	 
55	Spectrogram_1	1	2072.2	2073.1	0	4000	target	 
56	Spectrogram_1	1	2077.5	2078.55	0	4000	target	 
57	Spectrogram_1	1	2088.2	2088.75	0	4000	target	 
58	Spectrogram_1	1	2114.2	2114.7	0	4000	target	 
59	Spectrogram_1	1	2260.3	2260.85	0	4000	target	 
60	Spectrogram_1	1	2287.0	2287.7	0	4000	target	 
61	Spectrogram_1	1	2292.9	2295.45	0	4000	target	 
62	Spectrogram_1	1	2302.95	2303.45	0	4000	target	 
63	Spectrogram_1	1	2307.05	2308.4	0	4000	target	 
64	Spectrogram_1	1	2323.0	2328.0	0	4000	target	 
65	Spectrogram_1	1	2334.45	2335.45	0	4000	target	 
66	Spectrogram_1	1	2341.95	2345.15	0	4000	target	 
67	Spectrogram_1	1	2360.2	2361.3	0	4000	target	 
68	Spectrogram_1	1	2369.05	2369.55	0	4000	target	 
69	Spectrogram_1	1	2388.35	2388.85	0	4000	target	 
70	Spectrogram_1	1	2391.9	2394.15	0	4000	target	 
71	Spectrogram_1	1	2407.0	2407.65	0	4000	target	 
72	Spectrogram_1	1	2415.55	2417.25	0	4000	target	 
73	Spectrogram_1	1	2434.4	2435.2	0	4000	target	 
74	Spectrogram_1	1	2437.55	2438.2	0	4000	target	 
75	Spectrogram_1	1	2592.7	2593.25	0	4000	target	 
