Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	1627.45	1628.15	0	4000	target	 
2	Spectrogram_1	1	3009.25	3009.85	0	4000	target	 
3	Spectrogram_1	1	3023.0	3023.6	0	4000	target	 
4	Spectrogram_1	1	3154.9	3155.9	0	4000	target	 
5	Spectrogram_1	1	3552.55	3553.3	0	4000	target	 
6	Spectrogram_1	1	3634.25	3634.8	0	4000	target	 
7	Spectrogram_1	1	3691.25	3692.25	0	4000	target	 
8	Spectrogram_1	1	3753.25	3754.05	0	4000	target	 
9	Spectrogram_1	1	3933.05	3933.8	0	4000	target	 
10	Spectrogram_1	1	3970.3	3970.9	0	4000	target	 
11	Spectrogram_1	1	4030.25	4030.8	0	4000	target	 
12	Spectrogram_1	1	4290.6	4291.2	0	4000	target	 
13	Spectrogram_1	1	4295.55	4296.5	0	4000	target	 
14	Spectrogram_1	1	4300.15	4300.7	0	4000	target	 
15	Spectrogram_1	1	4302.65	4303.95	0	4000	target	 
16	Spectrogram_1	1	4341.85	4342.45	0	4000	target	 
17	Spectrogram_1	1	4348.95	4350.8	0	4000	target	 
18	Spectrogram_1	1	4355.1	4355.65	0	4000	target	 
19	Spectrogram_1	1	4732.3	4732.9	0	4000	target	 
20	Spectrogram_1	1	4735.0	4735.6	0	4000	target	 
21	Spectrogram_1	1	4753.55	4754.3	0	4000	target	 
22	Spectrogram_1	1	4757.05	4757.75	0	4000	target	 
23	Spectrogram_1	1	4764.0	4764.85	0	4000	target	 
24	Spectrogram_1	1	4796.0	4796.55	0	4000	target	 
25	Spectrogram_1	1	4820.5	4821.05	0	4000	target	 
26	Spectrogram_1	1	4858.35	4859.05	0	4000	target	 
27	Spectrogram_1	1	4925.15	4925.7	0	4000	target	 
28	Spectrogram_1	1	5203.55	5204.45	0	4000	target	 
29	Spectrogram_1	1	5217.75	5218.45	0	4000	target	 
30	Spectrogram_1	1	5227.75	5228.8	0	4000	target	 
31	Spectrogram_1	1	5281.9	5282.7	0	4000	target	 
32	Spectrogram_1	1	5282.75	5284.0	0	4000	target	 
33	Spectrogram_1	1	5291.6	5292.15	0	4000	target	 
34	Spectrogram_1	1	5292.25	5293.35	0	4000	target	 
35	Spectrogram_1	1	5308.1	5308.9	0	4000	target	 
36	Spectrogram_1	1	5404.05	5404.65	0	4000	target	 
37	Spectrogram_1	1	5465.75	5466.5	0	4000	target	 
38	Spectrogram_1	1	5505.3	5506.0	0	4000	target	 
39	Spectrogram_1	1	5522.15	5522.7	0	4000	target	 
40	Spectrogram_1	1	5543.75	5544.5	0	4000	target	 
41	Spectrogram_1	1	5735.65	5736.55	0	4000	target	 
42	Spectrogram_1	1	7050.5	7051.15	0	4000	target	 
43	Spectrogram_1	1	7272.25	7272.85	0	4000	target	 
44	Spectrogram_1	1	7366.85	7367.5	0	4000	target	 
45	Spectrogram_1	1	7436.8	7437.4	0	4000	target	 
46	Spectrogram_1	1	7818.45	7819.0	0	4000	target	 
47	Spectrogram_1	1	7820.1	7821.45	0	4000	target	 
48	Spectrogram_1	1	8226.0	8226.9	0	4000	target	 
49	Spectrogram_1	1	8260.45	8260.95	0	4000	target	 
50	Spectrogram_1	1	8402.9	8403.65	0	4000	target	 
51	Spectrogram_1	1	9342.85	9343.4	0	4000	target	 
52	Spectrogram_1	1	9343.75	9344.4	0	4000	target	 
53	Spectrogram_1	1	9370.25	9371.3	0	4000	target	 
54	Spectrogram_1	1	9379.6	9381.2	0	4000	target	 
55	Spectrogram_1	1	9383.0	9383.5	0	4000	target	 
56	Spectrogram_1	1	9384.2	9384.7	0	4000	target	 
57	Spectrogram_1	1	9391.05	9391.8	0	4000	target	 
58	Spectrogram_1	1	9408.2	9408.95	0	4000	target	 
59	Spectrogram_1	1	9425.1	9425.75	0	4000	target	 
60	Spectrogram_1	1	9425.95	9427.35	0	4000	target	 
61	Spectrogram_1	1	9434.05	9434.55	0	4000	target	 
62	Spectrogram_1	1	9438.05	9440.65	0	4000	target	 
63	Spectrogram_1	1	9479.2	9479.85	0	4000	target	 
64	Spectrogram_1	1	9480.1	9480.8	0	4000	target	 
65	Spectrogram_1	1	9492.2	9492.7	0	4000	target	 
66	Spectrogram_1	1	9498.85	9499.35	0	4000	target	 
67	Spectrogram_1	1	9536.45	9537.2	0	4000	target	 
68	Spectrogram_1	1	9550.35	9551.5	0	4000	target	 
69	Spectrogram_1	1	9602.05	9602.65	0	4000	target	 
70	Spectrogram_1	1	9620.7	9621.7	0	4000	target	 
71	Spectrogram_1	1	9625.15	9626.05	0	4000	target	 
72	Spectrogram_1	1	9638.35	9639.05	0	4000	target	 
73	Spectrogram_1	1	9645.95	9646.65	0	4000	target	 
74	Spectrogram_1	1	9793.55	9794.2	0	4000	target	 
75	Spectrogram_1	1	9944.0	9944.95	0	4000	target	 
76	Spectrogram_1	1	10059.25	10059.9	0	4000	target	 
77	Spectrogram_1	1	10078.45	10079.35	0	4000	target	 
78	Spectrogram_1	1	10763.55	10764.3	0	4000	target	 
79	Spectrogram_1	1	10839.7	10840.5	0	4000	target	 
80	Spectrogram_1	1	10858.5	10859.4	0	4000	target	 
81	Spectrogram_1	1	11231.15	11231.95	0	4000	target	 
82	Spectrogram_1	1	11232.9	11234.05	0	4000	target	 
83	Spectrogram_1	1	11253.9	11255.05	0	4000	target	 
84	Spectrogram_1	1	11265.5	11266.1	0	4000	target	 
85	Spectrogram_1	1	11270.75	11271.25	0	4000	target	 
86	Spectrogram_1	1	11292.15	11292.7	0	4000	target	 
87	Spectrogram_1	1	11365.05	11365.85	0	4000	target	 
88	Spectrogram_1	1	11378.85	11379.75	0	4000	target	 
89	Spectrogram_1	1	11517.35	11518.35	0	4000	target	 
90	Spectrogram_1	1	11521.95	11522.65	0	4000	target	 
91	Spectrogram_1	1	11665.1	11665.6	0	4000	target	 
92	Spectrogram_1	1	12427.05	12427.7	0	4000	target	 
93	Spectrogram_1	1	12611.8	12612.35	0	4000	target	 
94	Spectrogram_1	1	12639.1	12639.75	0	4000	target	 
95	Spectrogram_1	1	12818.95	12819.6	0	4000	target	 
96	Spectrogram_1	1	12833.65	12835.05	0	4000	target	 
97	Spectrogram_1	1	12981.5	12982.1	0	4000	target	 
98	Spectrogram_1	1	13411.5	13412.5	0	4000	target	 
99	Spectrogram_1	1	13782.2	13783.0	0	4000	target	 
100	Spectrogram_1	1	13860.15	13860.95	0	4000	target	 
