Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	89.6	91.85	0	4000	target	 
2	Spectrogram_1	1	129.05	129.4	0	4000	target	 
3	Spectrogram_1	1	213.05	213.6	0	4000	target	 
4	Spectrogram_1	1	234.7	235.45	0	4000	target	 
5	Spectrogram_1	1	260.25	260.65	0	4000	target	 
6	Spectrogram_1	1	275.7	276.0	0	4000	target	 
7	Spectrogram_1	1	279.65	280.3	0	4000	target	 
8	Spectrogram_1	1	291.95	292.3	0	4000	target	 
9	Spectrogram_1	1	388.45	388.85	0	4000	target	 
10	Spectrogram_1	1	521.35	522.2	0	4000	target	 
11	Spectrogram_1	1	554.9	555.35	0	4000	target	 
12	Spectrogram_1	1	568.9	569.2	0	4000	target	 
13	Spectrogram_1	1	574.0	574.3	0	4000	target	 
14	Spectrogram_1	1	627.85	628.3	0	4000	target	 
15	Spectrogram_1	1	643.6	652.2	0	4000	target	 
16	Spectrogram_1	1	655.2	669.45	0	4000	target	 
17	Spectrogram_1	1	671.75	680.75	0	4000	target	 
18	Spectrogram_1	1	682.95	684.65	0	4000	target	 
19	Spectrogram_1	1	687.05	692.1	0	4000	target	 
20	Spectrogram_1	1	862.4	868.55	0	4000	target	 
21	Spectrogram_1	1	897.95	898.9	0	4000	target	 
22	Spectrogram_1	1	901.4	905.0	0	4000	target	 
23	Spectrogram_1	1	908.7	909.15	0	4000	target	 
24	Spectrogram_1	1	911.9	912.8	0	4000	target	 
25	Spectrogram_1	1	917.05	919.3	0	4000	target	 
26	Spectrogram_1	1	930.95	931.4	0	4000	target	 
27	Spectrogram_1	1	939.3	976.65	0	4000	target	 
28	Spectrogram_1	1	980.2	981.1	0	4000	target	 
29	Spectrogram_1	1	987.5	992.2	0	4000	target	 
30	Spectrogram_1	1	996.5	1004.3	0	4000	target	 
31	Spectrogram_1	1	1010.35	1010.65	0	4000	target	 
32	Spectrogram_1	1	1012.85	1013.25	0	4000	target	 
33	Spectrogram_1	1	1019.9	1022.45	0	4000	target	 
34	Spectrogram_1	1	1031.5	1033.25	0	4000	target	 
35	Spectrogram_1	1	1048.25	1050.2	0	4000	target	 
36	Spectrogram_1	1	1165.8	1167.8	0	4000	target	 
37	Spectrogram_1	1	1452.65	1452.95	0	4000	target	 
38	Spectrogram_1	1	1462.4	1462.8	0	4000	target	 
39	Spectrogram_1	1	1567.9	1568.2	0	4000	target	 
40	Spectrogram_1	1	1774.3	1774.65	0	4000	target	 
41	Spectrogram_1	1	1790.5	1790.85	0	4000	target	 
42	Spectrogram_1	1	1798.15	1798.5	0	4000	target	 
43	Spectrogram_1	1	1841.65	1842.25	0	4000	target	 
44	Spectrogram_1	1	1857.05	1857.9	0	4000	target	 
45	Spectrogram_1	1	1882.8	1883.45	0	4000	target	 
46	Spectrogram_1	1	1889.5	1890.0	0	4000	target	 
47	Spectrogram_1	1	1893.7	1894.4	0	4000	target	 
48	Spectrogram_1	1	1897.45	1899.55	0	4000	target	 
49	Spectrogram_1	1	1902.25	1903.05	0	4000	target	 
50	Spectrogram_1	1	1906.05	1906.7	0	4000	target	 
51	Spectrogram_1	1	1910.0	1910.4	0	4000	target	 
52	Spectrogram_1	1	1917.9	1918.4	0	4000	target	 
53	Spectrogram_1	1	1924.75	1925.25	0	4000	target	 
54	Spectrogram_1	1	1928.45	1931.35	0	4000	target	 
55	Spectrogram_1	1	1935.2	1936.85	0	4000	target	 
56	Spectrogram_1	1	1940.0	1941.15	0	4000	target	 
57	Spectrogram_1	1	1945.15	1945.65	0	4000	target	 
58	Spectrogram_1	1	1950.45	1950.85	0	4000	target	 
59	Spectrogram_1	1	1955.0	1955.95	0	4000	target	 
60	Spectrogram_1	1	1969.25	1969.85	0	4000	target	 
61	Spectrogram_1	1	1975.25	1976.1	0	4000	target	 
62	Spectrogram_1	1	1979.7	1980.65	0	4000	target	 
63	Spectrogram_1	1	1985.3	1986.15	0	4000	target	 
64	Spectrogram_1	1	1988.85	1990.55	0	4000	target	 
65	Spectrogram_1	1	1992.95	1997.3	0	4000	target	 
66	Spectrogram_1	1	2000.95	2004.35	0	4000	target	 
67	Spectrogram_1	1	2008.5	2011.1	0	4000	target	 
68	Spectrogram_1	1	2013.35	2014.15	0	4000	target	 
69	Spectrogram_1	1	2017.3	2018.2	0	4000	target	 
70	Spectrogram_1	1	2020.45	2021.4	0	4000	target	 
71	Spectrogram_1	1	2024.25	2025.0	0	4000	target	 
72	Spectrogram_1	1	2030.35	2033.15	0	4000	target	 
73	Spectrogram_1	1	2038.0	2040.65	0	4000	target	 
74	Spectrogram_1	1	2043.05	2043.75	0	4000	target	 
75	Spectrogram_1	1	2046.85	2047.3	0	4000	target	 
76	Spectrogram_1	1	2050.75	2051.1	0	4000	target	 
77	Spectrogram_1	1	2054.4	2055.2	0	4000	target	 
78	Spectrogram_1	1	2058.75	2059.75	0	4000	target	 
79	Spectrogram_1	1	2061.85	2062.4	0	4000	target	 
80	Spectrogram_1	1	2068.6	2073.1	0	4000	target	 
81	Spectrogram_1	1	2077.35	2080.55	0	4000	target	 
82	Spectrogram_1	1	2088.2	2088.8	0	4000	target	 
83	Spectrogram_1	1	2109.8	2110.2	0	4000	target	 
84	Spectrogram_1	1	2114.15	2114.8	0	4000	target	 
85	Spectrogram_1	1	2203.8	2204.2	0	4000	target	 
86	Spectrogram_1	1	2242.95	2243.25	0	4000	target	 
87	Spectrogram_1	1	2260.4	2262.7	0	4000	target	 
88	Spectrogram_1	1	2277.25	2277.55	0	4000	target	 
89	Spectrogram_1	1	2285.1	2289.6	0	4000	target	 
90	Spectrogram_1	1	2292.95	2297.25	0	4000	target	 
91	Spectrogram_1	1	2302.95	2303.3	0	4000	target	 
92	Spectrogram_1	1	2306.05	2308.4	0	4000	target	 
93	Spectrogram_1	1	2314.9	2315.25	0	4000	target	 
94	Spectrogram_1	1	2319.3	2327.8	0	4000	target	 
95	Spectrogram_1	1	2329.95	2330.25	0	4000	target	 
96	Spectrogram_1	1	2334.8	2337.75	0	4000	target	 
97	Spectrogram_1	1	2342.3	2345.65	0	4000	target	 
98	Spectrogram_1	1	2348.1	2350.5	0	4000	target	 
99	Spectrogram_1	1	2352.65	2355.9	0	4000	target	 
100	Spectrogram_1	1	2359.6	2362.3	0	4000	target	 
101	Spectrogram_1	1	2369.05	2369.55	0	4000	target	 
102	Spectrogram_1	1	2379.95	2382.0	0	4000	target	 
103	Spectrogram_1	1	2385.9	2386.5	0	4000	target	 
104	Spectrogram_1	1	2392.0	2393.85	0	4000	target	 
105	Spectrogram_1	1	2401.65	2401.95	0	4000	target	 
106	Spectrogram_1	1	2405.05	2407.65	0	4000	target	 
107	Spectrogram_1	1	2415.55	2417.3	0	4000	target	 
108	Spectrogram_1	1	2423.35	2424.3	0	4000	target	 
109	Spectrogram_1	1	2431.7	2435.2	0	4000	target	 
110	Spectrogram_1	1	2437.55	2438.2	0	4000	target	 
111	Spectrogram_1	1	2441.5	2441.85	0	4000	target	 
112	Spectrogram_1	1	2451.05	2451.4	0	4000	target	 
113	Spectrogram_1	1	2487.4	2488.45	0	4000	target	 
114	Spectrogram_1	1	2523.3	2523.65	0	4000	target	 
115	Spectrogram_1	1	2529.9	2530.3	0	4000	target	 
116	Spectrogram_1	1	2551.05	2551.45	0	4000	target	 
117	Spectrogram_1	1	2592.6	2593.15	0	4000	target	 
118	Spectrogram_1	1	2692.45	2692.75	0	4000	target	 
119	Spectrogram_1	1	2704.85	2707.55	0	4000	target	 
120	Spectrogram_1	1	2724.1	2724.5	0	4000	target	 
121	Spectrogram_1	1	2730.35	2734.1	0	4000	target	 
122	Spectrogram_1	1	2738.15	2738.45	0	4000	target	 
123	Spectrogram_1	1	2744.55	2745.15	0	4000	target	 
124	Spectrogram_1	1	2748.65	2749.8	0	4000	target	 
125	Spectrogram_1	1	2767.95	2773.9	0	4000	target	 
126	Spectrogram_1	1	2801.3	2805.55	0	4000	target	 
127	Spectrogram_1	1	2807.75	2815.55	0	4000	target	 
128	Spectrogram_1	1	2818.0	2847.6	0	4000	target	 
129	Spectrogram_1	1	2850.6	2851.85	0	4000	target	 
130	Spectrogram_1	1	2858.55	2860.05	0	4000	target	 
131	Spectrogram_1	1	2864.5	2865.15	0	4000	target	 
132	Spectrogram_1	1	2869.75	2870.15	0	4000	target	 
133	Spectrogram_1	1	2877.05	2877.5	0	4000	target	 
134	Spectrogram_1	1	2881.0	2881.7	0	4000	target	 
135	Spectrogram_1	1	2885.15	2885.5	0	4000	target	 
136	Spectrogram_1	1	2887.6	2888.05	0	4000	target	 
137	Spectrogram_1	1	2894.1	2895.35	0	4000	target	 
138	Spectrogram_1	1	2899.7	2900.8	0	4000	target	 
139	Spectrogram_1	1	2903.25	2911.5	0	4000	target	 
140	Spectrogram_1	1	2914.3	2923.65	0	4000	target	 
141	Spectrogram_1	1	2928.85	2929.95	0	4000	target	 
142	Spectrogram_1	1	2933.4	2933.8	0	4000	target	 
143	Spectrogram_1	1	2949.7	2950.2	0	4000	target	 
144	Spectrogram_1	1	2993.2	2993.5	0	4000	target	 
145	Spectrogram_1	1	3064.05	3064.35	0	4000	target	 
146	Spectrogram_1	1	3168.55	3169.0	0	4000	target	 
147	Spectrogram_1	1	3198.2	3198.9	0	4000	target	 
148	Spectrogram_1	1	3208.6	3209.15	0	4000	target	 
149	Spectrogram_1	1	3244.35	3244.65	0	4000	target	 
150	Spectrogram_1	1	3300.45	3301.75	0	4000	target	 
151	Spectrogram_1	1	3309.95	3311.05	0	4000	target	 
152	Spectrogram_1	1	3315.15	3318.2	0	4000	target	 
153	Spectrogram_1	1	3362.3	3362.7	0	4000	target	 
154	Spectrogram_1	1	3377.15	3377.8	0	4000	target	 
155	Spectrogram_1	1	3389.8	3390.1	0	4000	target	 
156	Spectrogram_1	1	3397.4	3397.9	0	4000	target	 
157	Spectrogram_1	1	3411.3	3413.7	0	4000	target	 
158	Spectrogram_1	1	3463.65	3463.95	0	4000	target	 
159	Spectrogram_1	1	3467.4	3467.8	0	4000	target	 
160	Spectrogram_1	1	3723.3	3723.9	0	4000	target	 
161	Spectrogram_1	1	3752.75	3753.05	0	4000	target	 
162	Spectrogram_1	1	3808.35	3808.7	0	4000	target	 
163	Spectrogram_1	1	3849.35	3850.05	0	4000	target	 
164	Spectrogram_1	1	3875.5	3876.35	0	4000	target	 
165	Spectrogram_1	1	3882.35	3887.45	0	4000	target	 
166	Spectrogram_1	1	4047.5	4047.9	0	4000	target	 
167	Spectrogram_1	1	4087.7	4088.05	0	4000	target	 
168	Spectrogram_1	1	4112.45	4112.75	0	4000	target	 
169	Spectrogram_1	1	4146.1	4146.45	0	4000	target	 
170	Spectrogram_1	1	4164.2	4164.7	0	4000	target	 
171	Spectrogram_1	1	4204.65	4205.15	0	4000	target	 
172	Spectrogram_1	1	4208.9	4209.35	0	4000	target	 
173	Spectrogram_1	1	4214.8	4216.9	0	4000	target	 
174	Spectrogram_1	1	4230.15	4230.5	0	4000	target	 
175	Spectrogram_1	1	4233.15	4239.4	0	4000	target	 
176	Spectrogram_1	1	4248.5	4249.2	0	4000	target	 
177	Spectrogram_1	1	4311.7	4312.15	0	4000	target	 
178	Spectrogram_1	1	4333.65	4334.15	0	4000	target	 
179	Spectrogram_1	1	4336.8	4337.35	0	4000	target	 
180	Spectrogram_1	1	4342.45	4342.95	0	4000	target	 
181	Spectrogram_1	1	4376.35	4376.65	0	4000	target	 
182	Spectrogram_1	1	4383.2	4383.6	0	4000	target	 
183	Spectrogram_1	1	4441.0	4441.55	0	4000	target	 
184	Spectrogram_1	1	4462.55	4463.9	0	4000	target	 
185	Spectrogram_1	1	4478.0	4478.35	0	4000	target	 
186	Spectrogram_1	1	4494.9	4495.35	0	4000	target	 
187	Spectrogram_1	1	4502.65	4502.95	0	4000	target	 
188	Spectrogram_1	1	4506.3	4506.75	0	4000	target	 
189	Spectrogram_1	1	4516.3	4516.6	0	4000	target	 
190	Spectrogram_1	1	4521.0	4521.75	0	4000	target	 
191	Spectrogram_1	1	4525.1	4525.4	0	4000	target	 
192	Spectrogram_1	1	4529.3	4533.0	0	4000	target	 
193	Spectrogram_1	1	4538.15	4539.45	0	4000	target	 
194	Spectrogram_1	1	4544.1	4545.15	0	4000	target	 
195	Spectrogram_1	1	4555.25	4555.7	0	4000	target	 
196	Spectrogram_1	1	4558.5	4559.55	0	4000	target	 
197	Spectrogram_1	1	4565.2	4565.65	0	4000	target	 
198	Spectrogram_1	1	4572.05	4572.75	0	4000	target	 
199	Spectrogram_1	1	4576.25	4577.0	0	4000	target	 
200	Spectrogram_1	1	4580.2	4590.25	0	4000	target	 
201	Spectrogram_1	1	4600.1	4601.1	0	4000	target	 
202	Spectrogram_1	1	4607.0	4607.7	0	4000	target	 
203	Spectrogram_1	1	4609.75	4610.6	0	4000	target	 
204	Spectrogram_1	1	4613.0	4614.3	0	4000	target	 
205	Spectrogram_1	1	4617.05	4618.25	0	4000	target	 
206	Spectrogram_1	1	4620.55	4621.0	0	4000	target	 
207	Spectrogram_1	1	4623.55	4624.0	0	4000	target	 
208	Spectrogram_1	1	4634.1	4634.5	0	4000	target	 
209	Spectrogram_1	1	4644.9	4645.4	0	4000	target	 
210	Spectrogram_1	1	4652.25	4653.25	0	4000	target	 
211	Spectrogram_1	1	4657.2	4657.6	0	4000	target	 
212	Spectrogram_1	1	4661.1	4661.5	0	4000	target	 
213	Spectrogram_1	1	4673.7	4677.25	0	4000	target	 
214	Spectrogram_1	1	4683.85	4691.7	0	4000	target	 
215	Spectrogram_1	1	4694.5	4694.95	0	4000	target	 
216	Spectrogram_1	1	4701.15	4704.35	0	4000	target	 
217	Spectrogram_1	1	4707.65	4708.25	0	4000	target	 
218	Spectrogram_1	1	4719.4	4722.25	0	4000	target	 
219	Spectrogram_1	1	4729.75	4734.35	0	4000	target	 
220	Spectrogram_1	1	4738.15	4738.45	0	4000	target	 
221	Spectrogram_1	1	4754.9	4755.2	0	4000	target	 
222	Spectrogram_1	1	4769.6	4771.1	0	4000	target	 
223	Spectrogram_1	1	4791.7	4792.0	0	4000	target	 
224	Spectrogram_1	1	4801.9	4802.3	0	4000	target	 
225	Spectrogram_1	1	4814.85	4815.15	0	4000	target	 
226	Spectrogram_1	1	4834.95	4837.9	0	4000	target	 
227	Spectrogram_1	1	4840.35	4844.4	0	4000	target	 
228	Spectrogram_1	1	4862.5	4872.85	0	4000	target	 
229	Spectrogram_1	1	4888.6	4889.05	0	4000	target	 
230	Spectrogram_1	1	4892.25	4892.6	0	4000	target	 
231	Spectrogram_1	1	4906.85	4907.25	0	4000	target	 
232	Spectrogram_1	1	4919.25	4921.35	0	4000	target	 
233	Spectrogram_1	1	4925.85	4926.55	0	4000	target	 
234	Spectrogram_1	1	4938.8	4942.55	0	4000	target	 
235	Spectrogram_1	1	4947.5	4949.1	0	4000	target	 
236	Spectrogram_1	1	4959.75	4961.15	0	4000	target	 
237	Spectrogram_1	1	4971.0	4973.1	0	4000	target	 
238	Spectrogram_1	1	5009.65	5009.95	0	4000	target	 
239	Spectrogram_1	1	5041.9	5042.35	0	4000	target	 
240	Spectrogram_1	1	5053.15	5053.45	0	4000	target	 
241	Spectrogram_1	1	5058.2	5058.65	0	4000	target	 
242	Spectrogram_1	1	5096.25	5098.85	0	4000	target	 
243	Spectrogram_1	1	5101.95	5103.75	0	4000	target	 
244	Spectrogram_1	1	5135.05	5135.4	0	4000	target	 
245	Spectrogram_1	1	5181.2	5181.5	0	4000	target	 
246	Spectrogram_1	1	5228.45	5228.75	0	4000	target	 
247	Spectrogram_1	1	5248.2	5249.0	0	4000	target	 
248	Spectrogram_1	1	5324.75	5325.1	0	4000	target	 
249	Spectrogram_1	1	5357.1	5359.55	0	4000	target	 
250	Spectrogram_1	1	5368.95	5369.5	0	4000	target	 
251	Spectrogram_1	1	5379.35	5380.35	0	4000	target	 
252	Spectrogram_1	1	5386.3	5386.7	0	4000	target	 
253	Spectrogram_1	1	5394.9	5396.35	0	4000	target	 
254	Spectrogram_1	1	5407.45	5408.15	0	4000	target	 
255	Spectrogram_1	1	5446.65	5446.95	0	4000	target	 
256	Spectrogram_1	1	5451.35	5452.25	0	4000	target	 
257	Spectrogram_1	1	5454.55	5454.85	0	4000	target	 
258	Spectrogram_1	1	5474.95	5475.35	0	4000	target	 
259	Spectrogram_1	1	5485.8	5486.25	0	4000	target	 
260	Spectrogram_1	1	5488.85	5498.2	0	4000	target	 
261	Spectrogram_1	1	5514.6	5515.1	0	4000	target	 
262	Spectrogram_1	1	5519.4	5521.7	0	4000	target	 
263	Spectrogram_1	1	5570.2	5570.5	0	4000	target	 
264	Spectrogram_1	1	5624.4	5625.2	0	4000	target	 
265	Spectrogram_1	1	5653.6	5653.95	0	4000	target	 
266	Spectrogram_1	1	5660.75	5662.8	0	4000	target	 
267	Spectrogram_1	1	5789.75	5792.1	0	4000	target	 
268	Spectrogram_1	1	5878.1	5878.45	0	4000	target	 
269	Spectrogram_1	1	5988.3	5988.65	0	4000	target	 
270	Spectrogram_1	1	6058.5	6058.9	0	4000	target	 
271	Spectrogram_1	1	6085.35	6085.75	0	4000	target	 
272	Spectrogram_1	1	6105.55	6105.9	0	4000	target	 
273	Spectrogram_1	1	6113.0	6113.3	0	4000	target	 
274	Spectrogram_1	1	6240.2	6242.55	0	4000	target	 
275	Spectrogram_1	1	6328.55	6329.45	0	4000	target	 
276	Spectrogram_1	1	6354.35	6354.85	0	4000	target	 
277	Spectrogram_1	1	6432.0	6433.5	0	4000	target	 
278	Spectrogram_1	1	6481.05	6481.5	0	4000	target	 
279	Spectrogram_1	1	6619.2	6619.65	0	4000	target	 
280	Spectrogram_1	1	6623.05	6624.8	0	4000	target	 
281	Spectrogram_1	1	6735.2	6736.1	0	4000	target	 
282	Spectrogram_1	1	6742.3	6742.75	0	4000	target	 
283	Spectrogram_1	1	6748.4	6749.75	0	4000	target	 
284	Spectrogram_1	1	6871.45	6874.15	0	4000	target	 
285	Spectrogram_1	1	6882.95	6883.9	0	4000	target	 
286	Spectrogram_1	1	6919.7	6920.15	0	4000	target	 
287	Spectrogram_1	1	6937.05	6938.85	0	4000	target	 
288	Spectrogram_1	1	6974.75	6975.2	0	4000	target	 
289	Spectrogram_1	1	6987.3	6988.2	0	4000	target	 
290	Spectrogram_1	1	6993.35	6993.75	0	4000	target	 
291	Spectrogram_1	1	7002.1	7003.05	0	4000	target	 
292	Spectrogram_1	1	7079.85	7080.45	0	4000	target	 
293	Spectrogram_1	1	7099.7	7100.15	0	4000	target	 
294	Spectrogram_1	1	7107.1	7107.6	0	4000	target	 
295	Spectrogram_1	1	7117.55	7118.2	0	4000	target	 
296	Spectrogram_1	1	7149.55	7151.6	0	4000	target	 
297	Spectrogram_1	1	7198.0	7198.4	0	4000	target	 
298	Spectrogram_1	1	7215.7	7216.1	0	4000	target	 
299	Spectrogram_1	1	7232.5	7233.85	0	4000	target	 
300	Spectrogram_1	1	7243.65	7243.95	0	4000	target	 
301	Spectrogram_1	1	7256.3	7257.1	0	4000	target	 
302	Spectrogram_1	1	7287.85	7288.15	0	4000	target	 
303	Spectrogram_1	1	7295.55	7296.25	0	4000	target	 
304	Spectrogram_1	1	7361.05	7361.45	0	4000	target	 
305	Spectrogram_1	1	7375.4	7376.1	0	4000	target	 
306	Spectrogram_1	1	7379.95	7380.75	0	4000	target	 
307	Spectrogram_1	1	7383.9	7384.25	0	4000	target	 
