Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	422.95	423.3	0	4000	target	 
2	Spectrogram_1	1	437.85	438.2	0	4000	target	 
3	Spectrogram_1	1	565.5	565.8	0	4000	target	 
4	Spectrogram_1	1	1057.55	1057.9	0	4000	target	 
5	Spectrogram_1	1	1104.85	1105.15	0	4000	target	 
6	Spectrogram_1	1	1230.7	1231.0	0	4000	target	 
7	Spectrogram_1	1	1324.2	1324.55	0	4000	target	 
8	Spectrogram_1	1	1627.6	1628.15	0	4000	target	 
9	Spectrogram_1	1	1686.25	1686.7	0	4000	target	 
10	Spectrogram_1	1	1705.0	1705.45	0	4000	target	 
11	Spectrogram_1	1	1762.4	1762.7	0	4000	target	 
12	Spectrogram_1	1	2113.5	2113.8	0	4000	target	 
13	Spectrogram_1	1	2575.35	2575.8	0	4000	target	 
14	Spectrogram_1	1	2675.25	2675.65	0	4000	target	 
15	Spectrogram_1	1	2722.25	2722.75	0	4000	target	 
16	Spectrogram_1	1	2833.25	2833.6	0	4000	target	 
17	Spectrogram_1	1	2886.1	2886.45	0	4000	target	 
18	Spectrogram_1	1	2898.3	2898.6	0	4000	target	 
19	Spectrogram_1	1	3009.35	3009.85	0	4000	target	 
20	Spectrogram_1	1	3022.05	3026.0	0	4000	target	 
21	Spectrogram_1	1	3097.0	3097.3	0	4000	target	 
22	Spectrogram_1	1	3152.8	3155.9	0	4000	target	 
23	Spectrogram_1	1	3163.85	3164.2	0	4000	target	 
24	Spectrogram_1	1	3491.2	3491.7	0	4000	target	 
25	Spectrogram_1	1	3552.6	3553.1	0	4000	target	 
26	Spectrogram_1	1	3573.5	3573.8	0	4000	target	 
27	Spectrogram_1	1	3634.2	3634.85	0	4000	target	 
28	Spectrogram_1	1	3658.0	3658.3	0	4000	target	 
29	Spectrogram_1	1	3662.2	3662.6	0	4000	target	 
30	Spectrogram_1	1	3691.2	3692.15	0	4000	target	 
31	Spectrogram_1	1	3697.2	3697.55	0	4000	target	 
32	Spectrogram_1	1	3720.0	3720.3	0	4000	target	 
33	Spectrogram_1	1	3753.25	3754.0	0	4000	target	 
34	Spectrogram_1	1	3928.3	3928.75	0	4000	target	 
35	Spectrogram_1	1	3933.05	3933.65	0	4000	target	 
36	Spectrogram_1	1	3970.35	3970.95	0	4000	target	 
37	Spectrogram_1	1	4011.25	4011.6	0	4000	target	 
38	Spectrogram_1	1	4030.2	4030.75	0	4000	target	 
39	Spectrogram_1	1	4286.3	4286.75	0	4000	target	 
40	Spectrogram_1	1	4290.1	4291.15	0	4000	target	 
