Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	85.4	88.6	0	4000	target	 
2	Spectrogram_1	1	215.1	215.85	0	4000	target	 
3	Spectrogram_1	1	282.7	283.15	0	4000	target	 
4	Spectrogram_1	1	563.5	564.05	0	4000	target	 
5	Spectrogram_1	1	569.25	569.9	0	4000	target	 
6	Spectrogram_1	1	1046.4	1046.7	0	4000	target	 
7	Spectrogram_1	1	1062.2	1062.6	0	4000	target	 
8	Spectrogram_1	1	1180.7	1181.4	0	4000	target	 
9	Spectrogram_1	1	1206.0	1223.1	0	4000	target	 
10	Spectrogram_1	1	1227.4	1242.15	0	4000	target	 
11	Spectrogram_1	1	1245.1	1256.4	0	4000	target	 
12	Spectrogram_1	1	1260.3	1289.05	0	4000	target	 
13	Spectrogram_1	1	1293.35	1295.2	0	4000	target	 
14	Spectrogram_1	1	1297.25	1301.2	0	4000	target	 
15	Spectrogram_1	1	1304.05	1308.65	0	4000	target	 
16	Spectrogram_1	1	1316.2	1328.2	0	4000	target	 
17	Spectrogram_1	1	1586.5	1595.15	0	4000	target	 
18	Spectrogram_1	1	1634.3	1634.85	0	4000	target	 
19	Spectrogram_1	1	1637.1	1640.35	0	4000	target	 
20	Spectrogram_1	1	1643.05	1643.6	0	4000	target	 
21	Spectrogram_1	1	1645.7	1646.4	0	4000	target	 
22	Spectrogram_1	1	1654.85	1655.15	0	4000	target	 
23	Spectrogram_1	1	1681.05	1681.5	0	4000	target	 
24	Spectrogram_1	1	1684.5	1700.6	0	4000	target	 
25	Spectrogram_1	1	1703.2	1724.25	0	4000	target	 
26	Spectrogram_1	1	1753.0	1757.15	0	4000	target	 
27	Spectrogram_1	1	1802.9	1803.2	0	4000	target	 
28	Spectrogram_1	1	1845.0	1845.85	0	4000	target	 
29	Spectrogram_1	1	2006.85	2008.05	0	4000	target	 
30	Spectrogram_1	1	2062.9	2063.35	0	4000	target	 
31	Spectrogram_1	1	2066.0	2066.7	0	4000	target	 
32	Spectrogram_1	1	2229.15	2229.5	0	4000	target	 
33	Spectrogram_1	1	2467.95	2468.25	0	4000	target	 
34	Spectrogram_1	1	2474.8	2476.65	0	4000	target	 
35	Spectrogram_1	1	2482.4	2482.75	0	4000	target	 
36	Spectrogram_1	1	2494.55	2496.25	0	4000	target	 
37	Spectrogram_1	1	2712.85	2713.15	0	4000	target	 
38	Spectrogram_1	1	2722.65	2723.05	0	4000	target	 
39	Spectrogram_1	1	2730.1	2730.7	0	4000	target	 
40	Spectrogram_1	1	2740.05	2740.4	0	4000	target	 
41	Spectrogram_1	1	2774.6	2775.15	0	4000	target	 
42	Spectrogram_1	1	2797.35	2797.9	0	4000	target	 
43	Spectrogram_1	1	2862.8	2863.25	0	4000	target	 
44	Spectrogram_1	1	2901.3	2901.6	0	4000	target	 
45	Spectrogram_1	1	3225.75	3226.05	0	4000	target	 
46	Spectrogram_1	1	3232.05	3232.95	0	4000	target	 
47	Spectrogram_1	1	3260.45	3261.0	0	4000	target	 
48	Spectrogram_1	1	3267.05	3267.7	0	4000	target	 
49	Spectrogram_1	1	3278.45	3279.05	0	4000	target	 
50	Spectrogram_1	1	3294.6	3294.95	0	4000	target	 
51	Spectrogram_1	1	3303.6	3304.05	0	4000	target	 
52	Spectrogram_1	1	3308.75	3309.5	0	4000	target	 
53	Spectrogram_1	1	3311.95	3312.25	0	4000	target	 
54	Spectrogram_1	1	3316.05	3316.7	0	4000	target	 
55	Spectrogram_1	1	3321.25	3321.85	0	4000	target	 
56	Spectrogram_1	1	3333.5	3333.95	0	4000	target	 
57	Spectrogram_1	1	3337.45	3337.8	0	4000	target	 
58	Spectrogram_1	1	3345.6	3346.7	0	4000	target	 
59	Spectrogram_1	1	3385.8	3386.2	0	4000	target	 
60	Spectrogram_1	1	3573.1	3573.45	0	4000	target	 
61	Spectrogram_1	1	3587.7	3588.1	0	4000	target	 
62	Spectrogram_1	1	3699.45	3699.75	0	4000	target	 
63	Spectrogram_1	1	3730.75	3731.9	0	4000	target	 
64	Spectrogram_1	1	3740.25	3742.55	0	4000	target	 
65	Spectrogram_1	1	3751.15	3753.55	0	4000	target	 
66	Spectrogram_1	1	3757.8	3759.8	0	4000	target	 
67	Spectrogram_1	1	3766.55	3766.9	0	4000	target	 
68	Spectrogram_1	1	3775.8	3776.1	0	4000	target	 
69	Spectrogram_1	1	3795.45	3795.75	0	4000	target	 
70	Spectrogram_1	1	3800.5	3801.0	0	4000	target	 
71	Spectrogram_1	1	3821.4	3821.95	0	4000	target	 
72	Spectrogram_1	1	3824.1	3824.45	0	4000	target	 
73	Spectrogram_1	1	3827.9	3829.0	0	4000	target	 
74	Spectrogram_1	1	3849.2	3850.1	0	4000	target	 
75	Spectrogram_1	1	3853.5	3854.0	0	4000	target	 
76	Spectrogram_1	1	3881.1	3881.45	0	4000	target	 
77	Spectrogram_1	1	3902.85	3904.75	0	4000	target	 
78	Spectrogram_1	1	3916.9	3918.45	0	4000	target	 
79	Spectrogram_1	1	3929.45	3931.95	0	4000	target	 
80	Spectrogram_1	1	3940.15	3941.55	0	4000	target	 
81	Spectrogram_1	1	3958.65	3959.5	0	4000	target	 
82	Spectrogram_1	1	3977.65	3977.95	0	4000	target	 
83	Spectrogram_1	1	3986.9	3987.45	0	4000	target	 
84	Spectrogram_1	1	4026.85	4027.25	0	4000	target	 
85	Spectrogram_1	1	4083.65	4084.35	0	4000	target	 
86	Spectrogram_1	1	4124.7	4125.1	0	4000	target	 
87	Spectrogram_1	1	4144.8	4145.2	0	4000	target	 
88	Spectrogram_1	1	4187.05	4187.35	0	4000	target	 
89	Spectrogram_1	1	4297.15	4297.5	0	4000	target	 
90	Spectrogram_1	1	4306.3	4306.7	0	4000	target	 
91	Spectrogram_1	1	4325.65	4326.0	0	4000	target	 
92	Spectrogram_1	1	4337.35	4337.65	0	4000	target	 
93	Spectrogram_1	1	4356.95	4357.4	0	4000	target	 
94	Spectrogram_1	1	4382.4	4382.7	0	4000	target	 
95	Spectrogram_1	1	4391.35	4393.35	0	4000	target	 
96	Spectrogram_1	1	4400.85	4401.25	0	4000	target	 
97	Spectrogram_1	1	4405.1	4405.4	0	4000	target	 
98	Spectrogram_1	1	4419.45	4419.85	0	4000	target	 
99	Spectrogram_1	1	4430.65	4431.4	0	4000	target	 
100	Spectrogram_1	1	4437.3	4441.0	0	4000	target	 
101	Spectrogram_1	1	4445.6	4445.9	0	4000	target	 
102	Spectrogram_1	1	4448.9	4474.5	0	4000	target	 
103	Spectrogram_1	1	4476.8	4479.6	0	4000	target	 
104	Spectrogram_1	1	4525.6	4526.0	0	4000	target	 
105	Spectrogram_1	1	4531.8	4534.9	0	4000	target	 
106	Spectrogram_1	1	4543.7	4548.2	0	4000	target	 
107	Spectrogram_1	1	4557.05	4557.6	0	4000	target	 
108	Spectrogram_1	1	4561.35	4562.15	0	4000	target	 
109	Spectrogram_1	1	4564.95	4568.75	0	4000	target	 
110	Spectrogram_1	1	4577.3	4577.65	0	4000	target	 
111	Spectrogram_1	1	4628.15	4629.95	0	4000	target	 
112	Spectrogram_1	1	4672.05	4673.0	0	4000	target	 
113	Spectrogram_1	1	4676.1	4676.5	0	4000	target	 
114	Spectrogram_1	1	4697.25	4697.6	0	4000	target	 
115	Spectrogram_1	1	4752.35	4752.7	0	4000	target	 
116	Spectrogram_1	1	4758.9	4761.15	0	4000	target	 
117	Spectrogram_1	1	4780.75	4781.1	0	4000	target	 
118	Spectrogram_1	1	4786.35	4786.85	0	4000	target	 
119	Spectrogram_1	1	4842.6	4843.95	0	4000	target	 
120	Spectrogram_1	1	4936.55	4937.0	0	4000	target	 
121	Spectrogram_1	1	5208.9	5209.2	0	4000	target	 
122	Spectrogram_1	1	5226.8	5227.25	0	4000	target	 
123	Spectrogram_1	1	5237.55	5237.95	0	4000	target	 
124	Spectrogram_1	1	5249.8	5250.2	0	4000	target	 
125	Spectrogram_1	1	5314.6	5315.25	0	4000	target	 
126	Spectrogram_1	1	5337.05	5337.45	0	4000	target	 
127	Spectrogram_1	1	5370.4	5370.8	0	4000	target	 
128	Spectrogram_1	1	5449.8	5450.15	0	4000	target	 
129	Spectrogram_1	1	5498.8	5499.1	0	4000	target	 
130	Spectrogram_1	1	5505.7	5506.3	0	4000	target	 
131	Spectrogram_1	1	5646.05	5646.35	0	4000	target	 
132	Spectrogram_1	1	5675.65	5675.95	0	4000	target	 
133	Spectrogram_1	1	5684.25	5684.55	0	4000	target	 
134	Spectrogram_1	1	5737.75	5738.35	0	4000	target	 
135	Spectrogram_1	1	5750.4	5750.7	0	4000	target	 
136	Spectrogram_1	1	5769.0	5769.5	0	4000	target	 
137	Spectrogram_1	1	5772.95	5773.25	0	4000	target	 
138	Spectrogram_1	1	5776.1	5776.4	0	4000	target	 
139	Spectrogram_1	1	5790.85	5792.5	0	4000	target	 
140	Spectrogram_1	1	6008.85	6009.15	0	4000	target	 
141	Spectrogram_1	1	6083.3	6083.6	0	4000	target	 
142	Spectrogram_1	1	6096.15	6096.45	0	4000	target	 
143	Spectrogram_1	1	6163.8	6164.15	0	4000	target	 
144	Spectrogram_1	1	6281.55	6281.85	0	4000	target	 
145	Spectrogram_1	1	6329.75	6330.05	0	4000	target	 
146	Spectrogram_1	1	6648.45	6648.75	0	4000	target	 
147	Spectrogram_1	1	6721.95	6722.35	0	4000	target	 
148	Spectrogram_1	1	6783.6	6783.9	0	4000	target	 
149	Spectrogram_1	1	7078.95	7079.3	0	4000	target	 
150	Spectrogram_1	1	7112.95	7113.25	0	4000	target	 
151	Spectrogram_1	1	7123.6	7124.0	0	4000	target	 
152	Spectrogram_1	1	7126.8	7127.1	0	4000	target	 
153	Spectrogram_1	1	7188.55	7189.35	0	4000	target	 
154	Spectrogram_1	1	7191.8	7192.1	0	4000	target	 
155	Spectrogram_1	1	7253.3	7253.95	0	4000	target	 
156	Spectrogram_1	1	7288.45	7288.85	0	4000	target	 
157	Spectrogram_1	1	7417.75	7421.4	0	4000	target	 
158	Spectrogram_1	1	7480.3	7480.6	0	4000	target	 
159	Spectrogram_1	1	7530.05	7530.7	0	4000	target	 
160	Spectrogram_1	1	7556.95	7557.45	0	4000	target	 
161	Spectrogram_1	1	7812.95	7813.4	0	4000	target	 
162	Spectrogram_1	1	7817.45	7818.05	0	4000	target	 
163	Spectrogram_1	1	7918.3	7919.35	0	4000	target	 
164	Spectrogram_1	1	7928.6	7928.95	0	4000	target	 
165	Spectrogram_1	1	8213.55	8214.0	0	4000	target	 
166	Spectrogram_1	1	8225.8	8226.15	0	4000	target	 
167	Spectrogram_1	1	8266.9	8268.4	0	4000	target	 
